segment,bin,golden_i,golden_q
0,800,3,-24
0,801,4,-24
0,802,4,-24
0,803,5,-23
0,804,6,-23
0,805,6,-23
0,806,7,-23
0,807,7,-22
0,808,8,-22
0,809,9,-22
0,810,9,-21
0,811,10,-21
0,812,10,-20
0,813,11,-20
0,814,12,-20
0,815,12,-19
0,816,13,-19
0,817,13,-18
0,818,14,-18
0,819,14,-17
0,820,15,-17
0,821,15,-16
0,822,16,-16
0,823,16,-15
0,824,17,-15
0,825,17,-14
0,826,18,-14
0,827,18,-13
0,828,18,-13
0,829,19,-12
0,830,19,-12
0,831,20,-11
0,832,20,-10
0,833,20,-10
0,834,21,-9
0,835,21,-8
0,836,21,-8
0,837,21,-7
0,838,21,-6
0,839,22,-6
0,840,22,-5
0,841,22,-4
0,842,22,-3
0,843,22,-3
0,844,22,-2
0,845,22,-1
0,846,22,-1
0,847,22,0
0,848,22,1
0,849,22,1
0,850,22,2
0,851,21,3
0,852,21,3
0,853,21,4
0,854,21,5
0,855,21,5
0,856,20,6
0,857,20,7
0,858,20,7
0,859,20,8
0,860,19,8
0,861,19,9
0,862,18,10
0,863,18,10
0,864,18,11
0,865,17,12
0,866,17,12
0,867,16,13
0,868,16,13
0,869,15,14
0,870,15,14
0,871,14,15
0,872,14,15
0,873,13,16
0,874,13,16
0,875,12,17
0,876,12,17
0,877,11,18
0,878,11,18
0,879,10,18
0,880,10,19
0,881,9,19
0,882,8,20
0,883,8,20
0,884,7,20
0,885,7,20
0,886,6,21
0,887,5,21
0,888,5,21
0,889,4,21
0,890,3,22
0,891,2,22
0,892,2,22
0,893,1,22
0,894,0,22
0,895,0,22
0,896,-1,22
0,897,-2,22
0,898,-2,22
0,899,-3,22
0,900,-4,22
0,901,-4,22
0,902,-5,22
0,903,-6,22
0,904,-6,21
0,905,-7,21
0,906,-7,21
0,907,-8,21
0,908,-9,21
0,909,-9,20
0,910,-10,20
0,911,-11,20
0,912,-11,19
0,913,-12,19
0,914,-12,19
0,915,-13,18
0,916,-13,18
0,917,-14,17
0,918,-15,17
0,919,-15,16
0,920,-16,16
0,921,-16,15
0,922,-17,15
0,923,-17,14
0,924,-18,14
0,925,-18,13
0,926,-19,13
0,927,-19,12
0,928,-20,12
0,929,-20,11
0,930,-20,11
0,931,-21,10
0,932,-21,10
0,933,-21,9
0,934,-22,9
0,935,-22,8
0,936,-22,7
0,937,-23,7
0,938,-23,6
0,939,-23,5
0,940,-23,5
0,941,-23,4
0,942,-24,3
0,943,-24,3
0,944,-24,2
0,945,-24,1
0,946,-24,0
0,947,-24,0
0,948,-24,-1
0,949,-24,-2
0,950,-24,-2
0,951,-24,-3
0,952,-24,-4
0,953,-24,-4
0,954,-24,-5
0,955,-23,-6
0,956,-23,-6
0,957,-23,-7
0,958,-23,-8
0,959,-23,-8
0,960,-22,-9
0,961,-22,-9
0,962,-22,-10
0,963,-21,-11
0,964,-21,-11
0,965,-21,-12
0,966,-20,-13
0,967,-20,-13
0,968,-19,-14
0,969,-19,-14
0,970,-18,-15
0,971,-18,-15
0,972,-17,-16
0,973,-17,-16
0,974,-17,-17
0,975,-16,-17
0,976,-16,-18
0,977,-15,-18
0,978,-15,-19
0,979,-14,-19
0,980,-14,-20
0,981,-13,-20
0,982,-12,-21
0,983,-12,-21
0,984,-11,-21
0,985,-11,-22
0,986,-10,-22
0,987,-9,-22
0,988,-9,-23
0,989,-8,-23
0,990,-7,-23
0,991,-7,-23
0,992,-6,-24
0,993,-5,-24
0,994,-4,-24
0,995,-4,-24
0,996,-3,-24
0,997,-2,-24
0,998,-2,-24
0,999,-1,-24
0,1000,0,-24
0,1001,0,-24
0,1002,1,-24
0,1003,2,-24
0,1004,2,-24
0,1005,3,-24
0,1006,4,-23
0,1007,4,-23
0,1008,5,-23
0,1009,6,-23
0,1010,6,-22
0,1011,7,-22
0,1012,7,-22
0,1013,8,-22
0,1014,9,-21
0,1015,9,-21
0,1016,10,-20
0,1017,11,-20
0,1018,11,-20
0,1019,12,-19
0,1020,12,-19
0,1021,13,-18
0,1022,13,-18
0,1023,14,-17
0,1024,15,-17
0,1025,15,-16
0,1026,16,-16
0,1027,16,-15
0,1028,17,-15
0,1029,17,-14
0,1030,18,-14
0,1031,18,-13
0,1032,18,-13
0,1033,19,-12
0,1034,19,-11
0,1035,20,-11
0,1036,20,-10
0,1037,20,-10
0,1038,21,-9
0,1039,21,-8
0,1040,21,-8
0,1041,21,-7
0,1042,21,-6
0,1043,22,-6
0,1044,22,-5
0,1045,22,-4
0,1046,22,-3
0,1047,22,-3
0,1048,22,-2
0,1049,22,-1
0,1050,22,-1
0,1051,22,0
0,1052,22,1
0,1053,22,1
0,1054,22,2
0,1055,22,3
0,1056,22,3
0,1057,22,4
0,1058,22,5
0,1059,21,5
0,1060,21,6
0,1061,21,7
0,1062,21,7
0,1063,20,8
0,1064,20,9
0,1065,20,9
0,1066,19,10
0,1067,19,10
0,1068,18,11
0,1069,18,12
0,1070,18,12
0,1071,17,13
0,1072,17,13
0,1073,16,14
0,1074,16,14
0,1075,15,15
0,1076,15,15
0,1077,14,16
0,1078,14,16
0,1079,13,17
0,1080,13,17
0,1081,12,18
0,1082,12,18
0,1083,11,19
0,1084,11,19
0,1085,10,20
0,1086,9,20
0,1087,9,20
0,1088,8,21
0,1089,7,21
0,1090,7,21
0,1091,6,21
0,1092,5,22
0,1093,5,22
0,1094,4,22
0,1095,3,22
0,1096,3,22
0,1097,2,23
0,1098,1,23
0,1099,0,23
0,1100,0,23
0,1101,-1,23
0,1102,-2,23
0,1103,-2,23
0,1104,-3,22
0,1105,-4,22
0,1106,-4,22
0,1107,-5,22
0,1108,-6,22
0,1109,-6,22
0,1110,-7,21
0,1111,-8,21
0,1112,-8,21
0,1113,-9,21
0,1114,-10,20
0,1115,-10,20
0,1116,-11,20
0,1117,-11,19
0,1118,-12,19
0,1119,-13,18
0,1120,-13,18
0,1121,-14,18
0,1122,-14,17
0,1123,-15,17
0,1124,-16,16
0,1125,-16,16
0,1126,-17,15
0,1127,-17,15
0,1128,-18,14
0,1129,-18,14
0,1130,-19,13
0,1131,-19,13
0,1132,-20,12
0,1133,-20,12
0,1134,-20,11
0,1135,-21,11
0,1136,-21,10
0,1137,-22,9
0,1138,-22,9
0,1139,-22,8
0,1140,-22,8
0,1141,-23,7
0,1142,-23,6
0,1143,-23,6
0,1144,-24,5
0,1145,-24,4
0,1146,-24,4
0,1147,-24,3
0,1148,-24,2
0,1149,-25,2
0,1150,-25,1
0,1151,-25,0
0,1152,-25,-1
0,1153,-25,-1
0,1154,-25,-2
0,1155,-25,-3
0,1156,-24,-3
0,1157,-24,-4
0,1158,-24,-5
0,1159,-24,-5
0,1160,-24,-6
0,1161,-24,-7
0,1162,-23,-7
0,1163,-23,-8
0,1164,-23,-8
0,1165,-23,-9
0,1166,-22,-10
0,1167,-22,-10
0,1168,-21,-11
0,1169,-21,-12
0,1170,-21,-12
0,1171,-20,-13
0,1172,-20,-13
0,1173,-19,-14
0,1174,-19,-15
0,1175,-18,-15
0,1176,-18,-16
0,1177,-17,-16
0,1178,-17,-17
0,1179,-16,-17
0,1180,-16,-18
0,1181,-15,-18
0,1182,-15,-19
0,1183,-14,-19
0,1184,-14,-20
0,1185,-13,-20
0,1186,-13,-20
0,1187,-12,-21
0,1188,-11,-21
0,1189,-11,-21
0,1190,-10,-22
0,1191,-10,-22
0,1192,-9,-22
0,1193,-8,-23
0,1194,-8,-23
0,1195,-7,-23
0,1196,-6,-23
0,1197,-6,-24
0,1198,-5,-24
0,1199,-4,-24
0,1200,-3,-24
0,1201,-3,-24
0,1202,-2,-24
0,1203,-1,-24
0,1204,0,-24
0,1205,0,-24
0,1206,1,-24
0,1207,2,-24
0,1208,2,-24
0,1209,3,-24
0,1210,4,-23
0,1211,4,-23
0,1212,5,-23
0,1213,6,-23
0,1214,6,-22
0,1215,7,-22
0,1216,8,-22
0,1217,8,-22
0,1218,9,-21
0,1219,9,-21
0,1220,10,-20
0,1221,11,-20
0,1222,11,-20
0,1223,12,-19
0,1224,12,-19
0,1225,13,-18
0,1226,13,-18
0,1227,14,-17
0,1228,15,-17
0,1229,15,-16
0,1230,15,-16
0,1231,16,-15
