cycle,range_bin,doppler_bin,output_hex
1478745000,12,0,fefb01ee
1478755000,12,1,00e1fd93
1478765000,12,2,ff98019a
1478775000,12,3,0199fec6
1478785000,12,4,fd9f0193
1478795000,12,5,0119ff9f
1478805000,12,6,0042feff
1478815000,12,7,ff8000e0
1478825000,12,8,0247fe02
1478835000,12,9,fc3b02ed
1478845000,12,10,ffb0feb8
1478855000,12,11,04a50010
1478865000,12,12,fcbb0049
1478875000,12,13,0083fff1
1478885000,12,14,00eaff43
1478895000,12,15,ff7affda
1480775000,12,16,fe96000a
1480785000,12,17,00250077
1480795000,12,18,ff70ffee
1480805000,12,19,01c1fffa
1480815000,12,20,ff8afe01
1480825000,12,21,fe17028c
1480835000,12,22,01edfe4b
1480845000,12,23,014a013e
1480855000,12,24,fc3cfdd8
1480865000,12,25,04af038b
1480875000,12,26,fbe0fe50
1480885000,12,27,0093ff88
1480895000,12,28,ff78ff01
1480905000,12,29,018dffbe
1480915000,12,30,ff3700b3
1480925000,12,31,0162ff84
1482805000,13,0,002f0153
1482815000,13,1,fe84feb8
1482825000,13,2,01d5ffec
1482835000,13,3,ffa200c0
1482845000,13,4,ff30ff2d
1482855000,13,5,fecb026d
1482865000,13,6,038dfdb9
1482875000,13,7,fd26005f
1482885000,13,8,0209feed
1482895000,13,9,fec002cc
1482905000,13,10,fe6dfe72
1482915000,13,11,0266ff46
1482925000,13,12,008001f7
1482935000,13,13,fe6dfe77
1482945000,13,14,00d9001d
1482955000,13,15,ffc6ff9b
1484835000,13,16,02210171
1484845000,13,17,fec6ffde
1484855000,13,18,ff53fff6
1484865000,13,19,01180018
1484875000,13,20,fd4dfe87
1484885000,13,21,045a014b
1484895000,13,22,fe800017
1484905000,13,23,00fbfff5
1484915000,13,24,fdfffebd
1484925000,13,25,00d40134
1484935000,13,26,00230106
1484945000,13,27,009efed6
1484955000,13,28,fdf3ffd3
1484965000,13,29,02fc0023
1484975000,13,30,fddaffbd
1484985000,13,31,002ffed5
1486865000,14,0,ffff0105
1486875000,14,1,fea10038
1486885000,14,2,00e8ff2c
1486895000,14,3,ffe6ffb4
1486905000,14,4,fff70171
1486915000,14,5,fee20041
1486925000,14,6,01a1fef0
1486935000,14,7,ff84ff64
1486945000,14,8,0113003f
1486955000,14,9,fd070130
1486965000,14,10,01c8ff46
1486975000,14,11,ff0800e6
1486985000,14,12,025fff1b
1486995000,14,13,ff12ff9f
1487005000,14,14,fe7f01d6
1487015000,14,15,01bafdb2
1488895000,14,16,ffb8001d
1488905000,14,17,ff8fffda
1488915000,14,18,ff0dfe27
1488925000,14,19,020c02ff
1488935000,14,20,fde7fb92
1488945000,14,21,02650361
1488955000,14,22,ff1aff52
1488965000,14,23,01450074
1488975000,14,24,fd3cfee5
1488985000,14,25,02bb02c0
1488995000,14,26,fcf5fe67
1489005000,14,27,01080007
1489015000,14,28,ff6dfd60
1489025000,14,29,01710161
1489035000,14,30,ff2c00fc
1489045000,14,31,0087ffba
1490925000,15,0,ff6600eb
1490935000,15,1,0171fe30
1490945000,15,2,fe6101a2
1490955000,15,3,00a3fee3
1490965000,15,4,014f0059
1490975000,15,5,fca801c2
1490985000,15,6,02a0fd94
1490995000,15,7,ffa5009d
1491005000,15,8,01020041
